loc_name,dc_city,division_name,dept_name,family_name,class_name,item,item_desc,av_cost,min_stock,max_stock,in_transit_qty,default_wh,tabc,item_status,rtv_nrtv,stock_on_hand,total_soh,total_value,date,family_name
SM Vijayawada NBS Ongole,Vijayawada,Apparels,Fashion Accessories,Womens,Hair Accessories,102109995,SHOOINS BLACK MINI RUBBER BANDS -MR S01500 BLACK NS nos Pack,12.5,0,0,0,121,,ACTIVE,,0,0,0,2023-03-13,Womens
SM Vijayawada NBS Ongole,Vijayawada,BDF,Bakery,Bread,Specialty Breads,100815208,More Fresh Cheese GarlicBread1 nos Pouch,20,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Bread
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Oral Care,Tooth Brush,102095234,Oral B OB Kids Tom&Jerry1s ORAL-B TOM & JERRY KIDS 72 nos Blister Pk,55.5611,9,9,0,121,,ACTIVE,NRTV,6,6,333.3666,2023-03-13,Oral Care
SM Vijayawada NBS Ongole,Vijayawada,Fresh,F&V,Fruit,Regular,100052373,Sweet Orange KG,56.4999,,,3,121,,ACTIVE,NRTV,6,9,508.4991,2023-03-13,Fruit
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Skin Care,Body Care,100141345,Dove Essential Body Lotion 100 ml Bottle,177.888,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Skin Care
SM Vijayawada NBS Ongole,Vijayawada,Fresh,F&V,Vegetables,Organics,101821635,Fresh Organic Pineapple,100,,,0,121,,PURCHASE BLOCKED,NRTV,0,0,0,2023-03-13,Vegetables
SM Vijayawada NBS Ongole,Vijayawada,Apparels,Infant & Children's Apparel,Boys Wear (8-14 years),Boys Sport Wear,102110209,Taparia Impex BOY 10to14 TRACK PANT ASSORTED SZ 10Y nos Pack,110,0,0,0,121,,ACTIVE,,0,0,0,2023-03-13,Boys Wear (8-14 years)
SM Vijayawada NBS Ongole,Vijayawada,General Merchandise,Home Needs & Home Upkeep,Kitchen Implement,Kitchen,101048550,Scissor Set of 3 Blister Pack,49,0,0,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Kitchen Implement
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Snack,Potato Chips,101999062,Too Yumm Potato Chips Cream & Onion 45 gm Pouch,14.8214,2,2,0,121,,ACTIVE,NRTV,3,3,44.4642,2023-03-13,Snack
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Snack,Crisp Corn Snack,102024847,Act II IPC Sweet Pani Puri 59g59 gm Pack,22.508,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Snack
SM Vijayawada NBS Ongole,Vijayawada,BDF,Bakery,Bread,Sandwich Bread,101821115,Moreish Half Bread White 200 G,9,,,0,121,,ACTIVE,RTV,0,0,0,2023-03-13,Bread
SM Vijayawada NBS Ongole,Vijayawada,General Merchandise,Leisure,Stationery,Note Books,102097154,DOMS DOMS 19 x 15.5 cm Note Book SL 172 Pages 1 nos Bag,37.3425,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Stationery
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Paper and Tissue-HC,Facial Tissue,100508930,Origami So Soft Wet Wipes Cologne 10 Nos Pouch,25.4237,2,2,0,121,,ACTIVE,NRTV,16,16,406.7792,2023-03-13,Paper and Tissue-HC
SM Vijayawada NBS Ongole,Vijayawada,Staples,Flours - Salt and Sugar,Salt and Sugar,Salt,100152175,Saffola Salt Plus - Less Sodium 1 Kg,23.8308,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Salt and Sugar
SM Vijayawada NBS Ongole,Vijayawada,Staples,Spices-Dry Fruits & Organics,Spices and Dry Fruits,Spices,102064145,Grocery Farm Mace / Japatri 20g 20 gm Pouch,62.8571,11,11,0,121,,ACTIVE,NRTV,5,5,314.2855,2023-03-13,Spices and Dry Fruits
SM Vijayawada NBS Ongole,Vijayawada,Fresh,F&V,Fruit,Regular,100175457,BANANA ROBUSTA PREMIUM KG,38,,,0,121,,PURCHASE BLOCKED,NRTV,0,0,0,2023-03-13,Fruit
SM Vijayawada NBS Ongole,Vijayawada,Staples,Spices-Dry Fruits & Organics,Spices and Dry Fruits,Spices,100232911,Aachi Fish Curry Masala 100 gm,30.9572,3,3,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Spices and Dry Fruits
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Skin Care,Facial Cleanser,100802287,EveryuthFacewash Tulsi Turmeric 100 gm Bottle,64.6017,,,0,121,,ACTIVE,NRTV,10,10,646.017,2023-03-13,Skin Care
